,Hotel_Address,Average_Score,Hotel_Name,Negative_Review,Positive_Review,Reviewer_Score,Tags,lat,lng,Review_Date
262452,97 Cromwell Road Kensington and Chelsea London SW7 4DN United Kingdom,7.8,Holiday Inn London Kensington Forum, Bathroom was too small and only one hook to hang anything up which was very close to the toilet Water drained out too slowly down the plug hole when having a shower , The beds were comfy and the view from the window was an unexpected bonus ,9.6,"[' Leisure trip ', ' Couple ', ' Twin Room Non Smoking ', ' Stayed 3 nights ']",51.4942305,-0.1851141,2017-03-08
263954,97 Great Russell Street Bloomsbury Camden London WC1B 3LB United Kingdom,8.2,Radisson Blu Edwardian Kenilworth, Room was positioned close to Lift shaft so the fire door created a vacuum in the corridor rattling our bedroom door , Really comfy beds lots of toiletries provided,9.2,"[' Leisure trip ', ' Group ', ' Standard Double Twin Room ', ' Stayed 1 night ']",51.5179725,-0.12804949999999998,2017-02-08
264896,97 rue La Bo tie 8th arr 75008 Paris France,8.7,H tel Monna Lisa Champs Elys es, It was great , The staff here is over the top They went out of their way to take care of all our needs They learned it was our anniversary and they even signed a card I give this little hotel a 10 for customer service Next time I will for sure stay here again It was also close to everything We walked to the Louvre and the Eiffel Tower ,10.0,"[' Leisure trip ', ' Couple ', ' Classic Double Room ', ' Stayed 2 nights ']",48.874853,2.3245798,2017-05-07
264988,97 rue Lauriston 16th arr 75016 Paris France,8.5,H tel Waldorf Trocad ro, No views as the hotel in a street , Good comfortable beds and extremely friendly staff Good serviceable breakfast buffet Nice theme in lobby and in commons area Metro line is 300m or 2 blocks away ,9.6,"[' Leisure trip ', ' Group ', ' Classic Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",48.8672694,2.2878666,2017-07-18
265062,98 Avenue d Italie 13th arr 75013 Paris France,7.5,Best Western Amiral Hotel, We had a short stay so can t make any bad comment , As soon as we arrived I explained to Antoine at the reception that I had read a ladies comments of a room with a balcony Immediately we were upgraded Very impressed with this Very clean room although we were missing a robe and slippers to get to the pool But all was not lost We didn t have breakfast as it was a little expensive for what you got We did have a bakery next door which made it easy to get croissants Would most definitely go back again The hotel was clean with easy access to other areas with the metro 2 mins away The maid we had cleaning the 5th floor was lovely even though there was a language barrier she was most helpful On our final morning the reception lady and I had a lovely chat about health in general very lovely young lady ,9.6,"[' Leisure trip ', ' Family with young children ', ' Business Double Room ', ' Stayed 2 nights ']",48.825230700000006,2.3569005,2017-07-22
265181,98 Rue De Clery 2nd arr 75002 Paris France,8.2,Hotel Les Th tres,No Negative, The staff in this hotel were amazing I booked a room that was not quite what I wanted and they did everything possible to accommodate my needs The room I was moved into was larger than most I have seen in Paris The front desk worker Franck was great as was the lady manager with my requests These workers are a valuable asset to this hotel ,7.5,"[' Leisure trip ', ' Couple ', ' Classic Double Room ', ' Stayed 6 nights ', ' Submitted from a mobile device ']",48.8694768,2.3515064999999997,2017-07-27
265304,99 Bis Rue De Rome 17th arr 75017 Paris France,7.9,Mercure Paris 17 me Saint Lazare Monceau, The standard room is very small for a Mercure brand I have to change to a privilege room Room rates was more expensive than what is being advertised Limited facilities and housekeeping did not replenish mini bar even though it comes with minibar when you pay for privilege room Did not hang up bathrobe when I leave it on the sofa , N A,4.2,"[' Solo traveler ', ' Standard Room with 1 Double Bed ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",48.8837472,2.3186342,2017-01-01
265323,Albany Street London NW1 3UP United Kingdom,8.3,Melia White House Hotel, The room was the size of a small cupboard and the bathroom the size of a shoe box a small one You could sit on the loo and wash your feet in the bath at the same time if you are over 6 foot tall and over the age of 60 upgrade to a king size room they ask you when you book in if you want to upgrade the room for 18 per night wish we had You wont get in and out of the shower shower over the bath had to be a contortionist to get in and out The bathroom was not very clean the shampoo bottles had dust on the door had smears on and we found a hair or two on the sink not ours Take your own hairdryer At 180 a night I thought at least there will be a good hairdryer and mirror to do my hair in think again The hair dryer was one of those permeant wall mounted ones you used to find in the 1970 s in swimming pool changing rooms and it was situated over the loo I had no control over the power or heat and it went off half way through as it over heated spent my weekend looking like I had put my fingers in an electric socket , The bar area and reception were fantastic martini bar was great for meeting friends the hotel reception smelt amazing and the staff were ultra helpful The facilities were very good and location great ,6.3,"[' Leisure trip ', ' Couple ', ' Classic Double Room ', ' Stayed 2 nights ']",51.5298597,-0.1444623,2017-03-08
265979,Albert Cuypstraat 2 6 Oud Zuid 1072 CT Amsterdam Netherlands,8.8,Sir Albert Hotel, Firmer pillows would have been nice Some parts of the hotel were too dark such as stairwells and corridors Extra lighting would help , Liked the toiletries the bluetooth speaker radio the general ambience of the hotel Location is fantastic Staff friendly and helpful ,9.2,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 3 nights ']",52.3544507,4.8875036,2017-02-08
266314,Aldwych Westminster Borough London WC2B 4DD United Kingdom,8.4,The Waldorf Hilton, Room not ready on arrival at 3pm which inconvenienced our plans that afternoon we were given a free breakfast as compensation With regard to breakfast service was poor eg tables were not cleared and we had to move plates etc so that we could finish the meal, For the money it was average,4.6,"[' Leisure trip ', ' Couple ', ' Queen Hilton Guest Room ', ' Stayed 1 night ']",51.5131979,-0.1174504,2017-03-08
267114,Aletta Jacobslaan 7 Slotervaart 1066 BP Amsterdam Netherlands,8.4,Corendon Vitality Hotel Amsterdam, Only slight problem is the location being a bit far from the centre metro station is just down the road though which we took every day , Everything was great from the clean modern rooms to the staff being very helpful and polite ,9.2,"[' Leisure trip ', ' Group ', ' Standard Twin Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",52.346644899999994,4.8310984,2017-02-08
268055,Althanstra e 5 09 Alsergrund 1090 Vienna Austria,8.1,Hotel Bellevue Wien, The one lift s door did not close properly on the inside and there were no sign on the door to alert the guests in the hotel about it , The room was very neat and clean and the breakfast was great The hallways were quiet and concierge service amazing A big thumbs up for the guy that assisted us though he was just a mere 2 weeks on the job ,10.0,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",48.226406299999994,16.3600628,2017-07-24
268100,Alzaia Naviglio Grande 8 Navigli 20144 Milan Italy,9.1,Maison Borella, We dined at the hotel s restaurant but there were many mosquitoes maybe due to summer and that the hotel is located next to Naviglio Grande but other than that no complaints, Rooms were nice and clean service was good Overall a good experience and I would confidently say a good choice if you are looking to stay near the Navigli River,8.3,"[' Leisure trip ', ' Couple ', ' Double or Twin Room with Courtyard View ', ' Stayed 1 night ']",45.4521067,9.1758135,2017-09-07
268230,Am Heumarkt 35 37 03 Landstra e 1030 Vienna Austria,8.6,Hotel Am Konzerthaus Vienna MGallery by Sofitel, The only thing was the massive American tour group that took over the place but that wasn t the hotels fault , Fantastic breakfast After traveling around Europe for over a month we found this to be the most amazing breakfast that was included They even took special orders for specialty coffee etc A real plus Also the beds and down comforters were phenomenal and overall thenplace was really quiet for being in a big city We got some much needed shuteye ,10.0,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",48.1996129,16.3773546,2017-07-20
268460,Am Hof 2 01 Innere Stadt 1010 Vienna Austria,9.3,Park Hyatt Vienna, a bit pricy, Amazing facility amazing location very Clean friendly staff breakfast was great only place I plan to stay at next time I am in the same area of Vienna,9.6,"[' Leisure trip ', ' Family with young children ', ' Park Deluxe King ', ' Stayed 3 nights ']",48.210524299999996,16.3683592,2017-07-29
